,xpath
2,/html/body/div[2]/div[1]/ul[2]/li[2]/div
7,/html/body/div[2]/div[1]/ul[2]/li[4]/div
12,/html/body/div[2]/div[1]/ul[2]/li[6]/div
17,/html/body/div[2]/div[1]/ul[2]/li[8]/div
22,/html/body/div[2]/div[1]/ul[2]/li[10]/div
27,/html/body/div[2]/div[1]/ul[2]/li[12]/div
32,/html/body/div[2]/div[1]/ul[2]/li[14]/div
37,/html/body/div[2]/div[1]/ul[2]/li[16]/div
42,/html/body/div[2]/div[1]/ul[2]/li[18]/div
47,/html/body/div[2]/div[1]/ul[2]/li[20]/div
52,/html/body/div[2]/div[1]/ul[2]/li[22]/div
57,/html/body/div[2]/div[1]/ul[2]/li[24]/div
62,/html/body/div[2]/div[1]/ul[2]/li[26]/div
67,/html/body/div[2]/div[1]/ul[2]/li[28]/div
72,/html/body/div[2]/div[1]/ul[2]/li[30]/div
77,/html/body/div[2]/div[1]/ul[2]/li[32]/div
82,/html/body/div[2]/div[1]/ul[2]/li[34]/div
87,/html/body/div[2]/div[1]/ul[2]/li[36]/div
92,/html/body/div[2]/div[1]/ul[2]/li[38]/div
97,/html/body/div[2]/div[1]/ul[2]/li[40]/div
